geography,Visit,Age Group,month,Year,Race,Frequency,Population,rate,sex
Meigs,ED,child,All,2016,Total,,,7.8,All
Mercer,ED,child,All,2016,Total,,,22,All
Miami,ED,child,All,2016,Total,,,53.8,All
Monroe,ED,child,All,2016,Total,,,26.5,All
Montgomery,ED,child,All,2016,Total,,,121.1,All
Morgan,ED,child,All,2016,Total,,,24.5,All
Morrow,ED,child,All,2016,Total,,,49.5,All
Muskingum,ED,child,All,2016,Total,,,40.6,All
Noble,ED,child,All,2016,Total,,,7.5,All
Ottawa,ED,child,All,2016,Total,,,50.1,All
Paulding,ED,child,All,2016,Total,,,50.5,All
Perry,ED,child,All,2016,Total,,,37.6,All
Pickaway,ED,child,All,2016,Total,,,62.6,All
Pike,ED,child,All,2016,Total,,,42.5,All
Portage,ED,child,All,2016,Total,,,65.3,All
Preble,ED,child,All,2016,Total,,,48.7,All
Putnam,ED,child,All,2016,Total,,,28.5,All
Richland,ED,child,All,2016,Total,,,59.6,All
Ross,ED,child,All,2016,Total,,,49.5,All
Sandusky,ED,child,All,2016,Total,,,76.6,All
Scioto,ED,child,All,2016,Total,,,30.1,All
Seneca,ED,child,All,2016,Total,,,47.9,All
Shelby,ED,child,All,2016,Total,,,30.6,All
Stark,ED,child,All,2016,Total,,,62.3,All
Summit,ED,child,All,2016,Total,,,115.5,All
Trumbull,ED,child,All,2016,Total,,,62,All
Tuscarawas,ED,child,All,2016,Total,,,54.7,All
Union,ED,child,All,2016,Total,,,26.3,All
Van Wert,ED,child,All,2016,Total,,,23.7,All
Vinton,ED,child,All,2016,Total,,,56.3,All
Warren,ED,child,All,2016,Total,,,32.7,All
Washington,ED,child,All,2016,Total,,,36.2,All
Wayne,ED,child,All,2016,Total,,,43.2,All
Williams,ED,child,All,2016,Total,,,44.5,All
Wood,ED,child,All,2016,Total,,,37,All
Wyandot,ED,child,All,2016,Total,,,51.2,All
Ohio,ED,child,All,2016,Total,,,71.5,All
Adams,Inpatient,child,All,2016,Total,,,2.9,All
Allen,Inpatient,child,All,2016,Total,,,9.4,All
Ashland,Inpatient,child,All,2016,Total,,,0.8,All
Ashtabula,Inpatient,child,All,2016,Total,,,13.8,All
Athens,Inpatient,child,All,2016,Total,,,7,All
Auglaize,Inpatient,child,All,2016,Total,,,5.4,All
Belmont,Inpatient,child,All,2016,Total,,,0.8,All
Brown,Inpatient,child,All,2016,Total,,,4.8,All
Butler,Inpatient,child,All,2016,Total,,,8.9,All
Carroll,Inpatient,child,All,2016,Total,,,3.4,All
Champaign,Inpatient,child,All,2016,Total,,,6.6,All
Clark,Inpatient,child,All,2016,Total,,,17,All
Clermont,Inpatient,child,All,2016,Total,,,6.2,All
Clinton,Inpatient,child,All,2016,Total,,,6,All
Columbiana,Inpatient,child,All,2016,Total,,,7.3,All
Coshocton,Inpatient,child,All,2016,Total,,,5.8,All
Crawford,Inpatient,child,All,2016,Total,,,1.1,All
Cuyahoga,Inpatient,child,All,2016,Total,,,20.2,All
Darke,Inpatient,child,All,2016,Total,,,12.7,All
Defiance,Inpatient,child,All,2016,Total,,,3.3,All
Delaware,Inpatient,child,All,2016,Total,,,4.6,All
Erie,Inpatient,child,All,2016,Total,,,17,All
Fairfield,Inpatient,child,All,2016,Total,,,7.3,All
Fayette,Inpatient,child,All,2016,Total,,,13.1,All
Franklin,Inpatient,child,All,2016,Total,,,16.2,All
Fulton,Inpatient,child,All,2016,Total,,,4.8,All
GAllia,Inpatient,child,All,2016,Total,,,4.2,All
Geauga,Inpatient,child,All,2016,Total,,,5.7,All
Greene,Inpatient,child,All,2016,Total,,,19.9,All
Guernsey,Inpatient,child,All,2016,Total,,,2.2,All
Hamilton,Inpatient,child,All,2016,Total,,,16.2,All
Hancock,Inpatient,child,All,2016,Total,,,5.2,All
Hardin,Inpatient,child,All,2016,Total,,,8.2,All
Harrison,Inpatient,child,All,2016,Total,,,0,All
Henry,Inpatient,child,All,2016,Total,,,7.5,All
Highland,Inpatient,child,All,2016,Total,,,4.8,All
Hocking,Inpatient,child,All,2016,Total,,,7.5,All
Holmes,Inpatient,child,All,2016,Total,,,0.7,All
Huron,Inpatient,child,All,2016,Total,,,6.1,All
Jackson,Inpatient,child,All,2016,Total,,,1.3,All
Jefferson,Inpatient,child,All,2016,Total,,,3,All
Knox,Inpatient,child,All,2016,Total,,,9.2,All
Lake,Inpatient,child,All,2016,Total,,,7.5,All
Lawrence,Inpatient,child,All,2016,Total,,,0,All
Licking,Inpatient,child,All,2016,Total,,,9.2,All
Logan,Inpatient,child,All,2016,Total,,,3.7,All
Lorain,Inpatient,child,All,2016,Total,,,15.1,All
Lucas,Inpatient,child,All,2016,Total,,,16.7,All
Madison,Inpatient,child,All,2016,Total,,,4.3,All
Mahoning,Inpatient,child,All,2016,Total,,,9.2,All
Marion,Inpatient,child,All,2016,Total,,,5.1,All
Medina,Inpatient,child,All,2016,Total,,,3.4,All
Meigs,Inpatient,child,All,2016,Total,,,0,All
Mercer,Inpatient,child,All,2016,Total,,,3.8,All
Miami,Inpatient,child,All,2016,Total,,,12.5,All
Monroe,Inpatient,child,All,2016,Total,,,0,All
Montgomery,Inpatient,child,All,2016,Total,,,36.9,All
Morgan,Inpatient,child,All,2016,Total,,,0,All
Morrow,Inpatient,child,All,2016,Total,,,3.5,All
Muskingum,Inpatient,child,All,2016,Total,,,5,All
Noble,Inpatient,child,All,2016,Total,,,0,All
Ottawa,Inpatient,child,All,2016,Total,,,5,All
Paulding,Inpatient,child,All,2016,Total,,,0,All
Perry,Inpatient,child,All,2016,Total,,,6.8,All
Pickaway,Inpatient,child,All,2016,Total,,,8.7,All
Pike,Inpatient,child,All,2016,Total,,,11.7,All
Portage,Inpatient,child,All,2016,Total,,,4.5,All
Preble,Inpatient,child,All,2016,Total,,,7.3,All
Putnam,Inpatient,child,All,2016,Total,,,6.8,All
Richland,Inpatient,child,All,2016,Total,,,3,All
Ross,Inpatient,child,All,2016,Total,,,5.4,All
Sandusky,Inpatient,child,All,2016,Total,,,4.3,All
Scioto,Inpatient,child,All,2016,Total,,,3.5,All
Seneca,Inpatient,child,All,2016,Total,,,5.6,All
Shelby,Inpatient,child,All,2016,Total,,,7.1,All
Stark,Inpatient,child,All,2016,Total,,,2.4,All
Summit,Inpatient,child,All,2016,Total,,,5.4,All
Trumbull,Inpatient,child,All,2016,Total,,,3.9,All
Tuscarawas,Inpatient,child,All,2016,Total,,,1.4,All
Union,Inpatient,child,All,2016,Total,,,2.9,All
Van Wert,Inpatient,child,All,2016,Total,,,5.9,All
Vinton,Inpatient,child,All,2016,Total,,,3.3,All
Warren,Inpatient,child,All,2016,Total,,,3.1,All
Washington,Inpatient,child,All,2016,Total,,,4.1,All
Wayne,Inpatient,child,All,2016,Total,,,3.5,All
Williams,Inpatient,child,All,2016,Total,,,5.9,All
Wood,Inpatient,child,All,2016,Total,,,5.2,All
Wyandot,Inpatient,child,All,2016,Total,,,1.9,All
Ohio,Inpatient,child,All,2016,Total,,,11.5,All
Adams,ED,adult,All,2016,Total,,,41.5,All
Allen,ED,adult,All,2016,Total,,,41,All
Ashland,ED,adult,All,2016,Total,,,33.6,All
Ashtabula,ED,adult,All,2016,Total,,,44.3,All
Athens,ED,adult,All,2016,Total,,,13.6,All
Auglaize,ED,adult,All,2016,Total,,,17,All
Belmont,ED,adult,All,2016,Total,,,15.2,All
Brown,ED,adult,All,2016,Total,,,26.9,All
Butler,ED,adult,All,2016,Total,,,31.7,All
Carroll,ED,adult,All,2016,Total,,,16.7,All
Champaign,ED,adult,All,2016,Total,,,32.6,All
Clark,ED,adult,All,2016,Total,,,38.4,All
Clermont,ED,adult,All,2016,Total,,,28.8,All
Clinton,ED,adult,All,2016,Total,,,46.2,All
Columbiana,ED,adult,All,2016,Total,,,26.2,All
Coshocton,ED,adult,All,2016,Total,,,32.2,All
Crawford,ED,adult,All,2016,Total,,,27.2,All
Cuyahoga,ED,adult,All,2016,Total,,,54.3,All
Darke,ED,adult,All,2016,Total,,,35.2,All
Defiance,ED,adult,All,2016,Total,,,38.4,All
Delaware,ED,adult,All,2016,Total,,,14.4,All
Erie,ED,adult,All,2016,Total,,,75.9,All
Fairfield,ED,adult,All,2016,Total,,,18,All
Fayette,ED,adult,All,2016,Total,,,34.8,All
Franklin,ED,adult,All,2016,Total,,,39.5,All
Fulton,ED,adult,All,2016,Total,,,25.3,All
GAllia,ED,adult,All,2016,Total,,,17.7,All
Geauga,ED,adult,All,2016,Total,,,10.8,All
Greene,ED,adult,All,2016,Total,,,34.2,All
Guernsey,ED,adult,All,2016,Total,,,20.1,All
Hamilton,ED,adult,All,2016,Total,,,56,All
Hancock,ED,adult,All,2016,Total,,,31.5,All
Hardin,ED,adult,All,2016,Total,,,15.2,All
Harrison,ED,adult,All,2016,Total,,,53.9,All
Henry,ED,adult,All,2016,Total,,,32,All
Highland,ED,adult,All,2016,Total,,,35.8,All
Hocking,ED,adult,All,2016,Total,,,23.6,All
Holmes,ED,adult,All,2016,Total,,,16.1,All
Huron,ED,adult,All,2016,Total,,,29,All
Jackson,ED,adult,All,2016,Total,,,18.1,All
Jefferson,ED,adult,All,2016,Total,,,32.9,All
Knox,ED,adult,All,2016,Total,,,22.2,All
Lake,ED,adult,All,2016,Total,,,22.3,All
Lawrence,ED,adult,All,2016,Total,,,0.4,All
Licking,ED,adult,All,2016,Total,,,19.2,All
Logan,ED,adult,All,2016,Total,,,32.8,All
Lorain,ED,adult,All,2016,Total,,,53.8,All
Lucas,ED,adult,All,2016,Total,,,54,All
Madison,ED,adult,All,2016,Total,,,29.7,All
Mahoning,ED,adult,All,2016,Total,,,53.5,All
Marion,ED,adult,All,2016,Total,,,32.2,All
Medina,ED,adult,All,2016,Total,,,25.5,All
Meigs,ED,adult,All,2016,Total,,,7.1,All
Mercer,ED,adult,All,2016,Total,,,11.8,All
Miami,ED,adult,All,2016,Total,,,29,All
Monroe,ED,adult,All,2016,Total,,,17.5,All
Montgomery,ED,adult,All,2016,Total,,,52.8,All
Morgan,ED,adult,All,2016,Total,,,14.7,All
Morrow,ED,adult,All,2016,Total,,,50.1,All
Muskingum,ED,adult,All,2016,Total,,,25.6,All
Noble,ED,adult,All,2016,Total,,,6,All
Ottawa,ED,adult,All,2016,Total,,,43,All
Paulding,ED,adult,All,2016,Total,,,37.9,All
Perry,ED,adult,All,2016,Total,,,18.7,All
Pickaway,ED,adult,All,2016,Total,,,27.6,All
Pike,ED,adult,All,2016,Total,,,19.1,All
Portage,ED,adult,All,2016,Total,,,19.1,All
Preble,ED,adult,All,2016,Total,,,22.2,All
Putnam,ED,adult,All,2016,Total,,,18.1,All
Richland,ED,adult,All,2016,Total,,,26.1,All
Ross,ED,adult,All,2016,Total,,,21.7,All
Sandusky,ED,adult,All,2016,Total,,,43.5,All
Scioto,ED,adult,All,2016,Total,,,12.4,All
Seneca,ED,adult,All,2016,Total,,,38.9,All
Shelby,ED,adult,All,2016,Total,,,33.1,All
Stark,ED,adult,All,2016,Total,,,43.6,All
Summit,ED,adult,All,2016,Total,,,39.9,All
Trumbull,ED,adult,All,2016,Total,,,36,All
Tuscarawas,ED,adult,All,2016,Total,,,38.9,All
Union,ED,adult,All,2016,Total,,,16.7,All
Van Wert,ED,adult,All,2016,Total,,,17,All
Vinton,ED,adult,All,2016,Total,,,21.8,All
Warren,ED,adult,All,2016,Total,,,23.7,All
Washington,ED,adult,All,2016,Total,,,21.8,All
Wayne,ED,adult,All,2016,Total,,,30.7,All
Williams,ED,adult,All,2016,Total,,,41.8,All
Wood,ED,adult,All,2016,Total,,,14.4,All
Wyandot,ED,adult,All,2016,Total,,,31.6,All
Ohio,ED,adult,All,2016,Total,,,38.1,All
Adams,Inpatient,adult,All,2016,Total,,,3.3,All
Allen,Inpatient,adult,All,2016,Total,,,5.1,All
Ashland,Inpatient,adult,All,2016,Total,,,2.7,All
Ashtabula,Inpatient,adult,All,2016,Total,,,3.8,All
Athens,Inpatient,adult,All,2016,Total,,,0.9,All
Auglaize,Inpatient,adult,All,2016,Total,,,2.9,All
Belmont,Inpatient,adult,All,2016,Total,,,3,All
Brown,Inpatient,adult,All,2016,Total,,,4.4,All
Butler,Inpatient,adult,All,2016,Total,,,3.9,All
Carroll,Inpatient,adult,All,2016,Total,,,2.7,All
Champaign,Inpatient,adult,All,2016,Total,,,5.3,All
Clark,Inpatient,adult,All,2016,Total,,,3.5,All
Clermont,Inpatient,adult,All,2016,Total,,,3.2,All
Clinton,Inpatient,adult,All,2016,Total,,,2.8,All
Columbiana,Inpatient,adult,All,2016,Total,,,3.6,All
Coshocton,Inpatient,adult,All,2016,Total,,,4.3,All
Crawford,Inpatient,adult,All,2016,Total,,,1.2,All
Cuyahoga,Inpatient,adult,All,2016,Total,,,7.6,All
Darke,Inpatient,adult,All,2016,Total,,,2.3,All
Defiance,Inpatient,adult,All,2016,Total,,,5.8,All
Delaware,Inpatient,adult,All,2016,Total,,,1.7,All
Erie,Inpatient,adult,All,2016,Total,,,5,All
Fairfield,Inpatient,adult,All,2016,Total,,,1.8,All
Fayette,Inpatient,adult,All,2016,Total,,,1.8,All
Franklin,Inpatient,adult,All,2016,Total,,,3.5,All
Fulton,Inpatient,adult,All,2016,Total,,,2.8,All
GAllia,Inpatient,adult,All,2016,Total,,,1.7,All
Geauga,Inpatient,adult,All,2016,Total,,,2.9,All
Greene,Inpatient,adult,All,2016,Total,,,2.1,All
Guernsey,Inpatient,adult,All,2016,Total,,,2.3,All
Hamilton,Inpatient,adult,All,2016,Total,,,6.4,All
Hancock,Inpatient,adult,All,2016,Total,,,3.8,All
Hardin,Inpatient,adult,All,2016,Total,,,0.8,All
Harrison,Inpatient,adult,All,2016,Total,,,3.3,All
Henry,Inpatient,adult,All,2016,Total,,,2.4,All
Highland,Inpatient,adult,All,2016,Total,,,2.1,All
Hocking,Inpatient,adult,All,2016,Total,,,0.5,All
Holmes,Inpatient,adult,All,2016,Total,,,0.3,All
Huron,Inpatient,adult,All,2016,Total,,,2,All
Jackson,Inpatient,adult,All,2016,Total,,,0.8,All
Jefferson,Inpatient,adult,All,2016,Total,,,4.6,All
Knox,Inpatient,adult,All,2016,Total,,,1.7,All
Lake,Inpatient,adult,All,2016,Total,,,3.9,All
Lawrence,Inpatient,adult,All,2016,Total,,,0.2,All
Licking,Inpatient,adult,All,2016,Total,,,1.4,All
Logan,Inpatient,adult,All,2016,Total,,,2.6,All
Lorain,Inpatient,adult,All,2016,Total,,,4,All
Lucas,Inpatient,adult,All,2016,Total,,,6.1,All
Madison,Inpatient,adult,All,2016,Total,,,2.3,All
Mahoning,Inpatient,adult,All,2016,Total,,,7.2,All
Marion,Inpatient,adult,All,2016,Total,,,5.6,All
